OBJECTID,HydroID,DivNumber,Division,SrcFCName,SrcFType,SrcType,SourceID,FeatRel,FSource,AttrRel,AttrSource,PlanAcc,Symbol,TextNote,AlbersArea,Shape_Length,Shape_Area
"1","9400203","12",Carpentaria Coast,AWRA2010_REGIONS, ,,"0",2012-11-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2011-08-26T00:00:00.000,Bureau of Meteorology,"125",,,635944139313.336,113.425000013994,54.39785625016
"2","9400205","11",Lake Eyre Basin,AWRA2010_REGIONS, ,,"1",2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2011-08-26T00:00:00.000,Bureau of Meteorology,"125",,,1308429636038.38,96.5500000000001,117.764612499999
"3","9400206","4",Murray-Darling Basin,AWRA2010_REGIONS, ,,"2",2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2011-08-26T00:00:00.000,Bureau of Meteorology,"125",,,1062024775263.52,89.6550000000014,101.22765
"4","9400207","1",North East Coast,AWRA2010_REGIONS, ,,"3",2012-11-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2011-08-26T00:00:00.000,Bureau of Meteorology,"125",,,450800463492.707,123.290000016995,39.5445437498962
"5","9400208","9",North Western Plateau,AWRA2010_REGIONS, ,,"4",2012-11-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2011-08-26T00:00:00.000,Bureau of Meteorology,"125",,,715795228956.476,77.4049999999995,62.8200562500002
"6","9400204","8",Pilbara-Gascoyne,AWRA2010_REGIONS, ,,"5",2012-11-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2011-08-26T00:00:00.000,Bureau of Meteorology,"125",,,478144152666.801,67.4149999999967,42.6688125
"7","9400209","5",South Australian Gulf,AWRA2010_REGIONS, ,,"6",2012-11-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2011-08-26T00:00:00.000,Bureau of Meteorology,"125",,,117699066849.822,55.5899999999999,11.30851875
"8","9400215",2a,South East Coast (NSW),AWRA2010_REGIONS, ,,"9",2012-11-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2011-08-26T00:00:00.000,Bureau of Meteorology,"125",,,129577830512.567,46.635000000001,12.4043875
"9","9400210",2b,South East Coast (Victoria),AWRA2010_REGIONS, ,,"10",2012-11-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2011-08-26T00:00:00.000,Bureau of Meteorology,"125",,,134617156547.115,55.1849999999976,13.708425
"10","9400211","7",South West Coast,AWRA2010_REGIONS, ,,"7",2012-11-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2011-08-26T00:00:00.000,Bureau of Meteorology,"125",,,326037436998.268,45.5049999999998,31.04920625
"11","9400212","6",South Western Plateau,AWRA2010_REGIONS, ,,"8",2012-11-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2011-08-26T00:00:00.000,Bureau of Meteorology,"125",,,1093052674789.31,96.0750000000006,101.6441875
"12","9400214","10",Tanami-Timor Sea Coast,AWRA2010_REGIONS, ,,"11",2012-11-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,1162036981895.51,202.559999997,99.1846687498312
"13","9400213","3",Tasmania,AWRA2010_REGIONS, ,,"12",2012-11-16T00:00:00.000,GEOSCIENCE AUSTRALIA,2011-08-26T00:00:00.000,Bureau of Meteorology,"125",,,67774541056.1238,40.1700000000003,7.3593
