OBJECTID,HydroID,Division,RivRegNum,RivRegName,SrcFCName,SrcFType,SrcType,SourceID,FeatRel,FSource,AttrRel,AttrSource,PlanAcc,Symbol,TextNote,AlbersArea,Shape_Length,Shape_Area
"1","9400216",Murray-Darling Basin,"8",AVOCA RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,4073860704.63587,6.40500000100019,0.410018749726263
"2","9400217",Murray-Darling Basin,"9",AVON RIVER-TYRELL LAKE, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,14820802285.4442,8.63500000800013,1.47783124992625
"3","9400218",Murray-Darling Basin,"23",CONDAMINE-CULGOA RIVERS, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,166248986980.884,37.1349999809995,15.2145187494613
"4","9400219",Murray-Darling Basin,"14",BENANEE-WILLANDRA CREEK, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,38985241368.7326,18.8249999790013,3.76397500016874
"5","9400220",Murray-Darling Basin,"17",BORDER RIVERS, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,50135533153.8,14.9250000139998,4.6327437507475
"6","9400221",Murray-Darling Basin,"4",BROKEN RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,5870667227.48275,6.37500000000045,0.58981875012249
"7","9400222",Murray-Darling Basin,"6",CAMPASPE RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,3512093070.18412,5.4499999939992,0.355225000105
"8","9400223",Murray-Darling Basin,"21",CASTLEREAGH RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,18990695754.5662,10.8100000109997,1.79518124992251
"9","9400224",Murray-Darling Basin,"26",DARLING RIVER, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,118551659370.4,34.6150000020004,11.31443749976
"10","9400225",Murray-Darling Basin,"11",BILLABONG-YANCO CREEKS, , ,,,2005-07-01T00:00:00.000,GEOSCIENCE AUSTRALIA,2012-06-12T00:00:00.000,Bureau of Meteorology,"125",,,24942370109.7364,14.3799999989996,2.47041249988876
