from,count,to,count reapportioned
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12105134>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/80040620000,0.192821  
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12105134>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/11205393300,0.020419  
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12105134>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/80013390000,0.000007  
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12105134>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/80007310000,0.000144  
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12105134>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/80013640000,0.000034  
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12105134>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/80012900000,0.001832  
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12105134>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/80047352000,0.000310  
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12105134>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/80012870000,0.000128  
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12105134>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/80007280000,0.000123  
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12105134>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/80024870000,0.000320  
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12105134>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/80012880000,0.000205  
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12105134>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/80013050000,0.000158  
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12105134>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/80007460000,0.000010  
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12105134>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/80013030000,0.000024  
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12105134>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/80006920000,0.000079  
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12105134>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/80040590000,0.000641  
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12105134>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/80006930000,0.000021  
<http://linked.data.gov.au/dataset/geofabric/contractedcatchment/12105134>,1,http://linked.data.gov.au/dataset/asgs2016/meshblock/80007440000,0.000480  
